,REGIONAL,DEPARTAMENTO,TECNOL,GERENCIA,CANAL_HOMOLOGADO_MILLICON,tipo_fuerza_venta,estrato,antiguedad_meses,productos,portafolio,no_serv_tecnicos,fallo,asesoria_factura,pedidos_peticiones,reagendamiento,asesoria_servicios,retencion,Otras,quejas_fraude,traslado,Incumplimiento_pago,cliente_id
14638,NOROCCIDENTE,ANTIOQUIA,HFC,RETAIL,RETAIL,INDIRECTA,4,3.0,TV,Individual,1.0,Fallas en audio/subtitulos,0,0,0,0,0,0,0,0,1,43018561
14637,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,187.0,BA,Individual,1.0,No navega,1,0,0,0,0,0,0,0,0,43017681
14636,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,87.0,TV,Individual,,,1,0,0,0,0,0,0,0,0,43017048
14633,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,4,6.0,TO+TV+BA,Trio,1.0,Sin señal,0,0,0,0,0,0,0,0,0,43016814
14631,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,180.0,TV+BA,Duo,,,0,0,0,0,0,0,0,0,0,43015748
14630,NOROCCIDENTE,ANTIOQUIA,DTH,CONTACT,SAC,INDIRECTA,1,0.0,TV,Individual,,,0,0,0,0,0,0,0,0,1,43015486
14629,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,122.0,TV,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43015274
14628,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,2,75.0,BA,Individual,,,0,0,0,0,0,0,0,0,0,43015082
14627,NOROCCIDENTE,ANTIOQUIA,REDCO,CONTACT,OUT BOUND,INDIRECTA,1,17.0,BA,Individual,1.0,Servicio intermitente,0,0,0,0,0,0,0,0,0,43014642
14626,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,6,136.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,43014299
14625,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,SAC,INDIRECTA,3,36.0,TV,Individual,,,1,0,0,0,0,0,0,0,0,43013884
14624,NOROCCIDENTE,ANTIOQUIA,HFC,CONTACT,OUT BOUND,INDIRECTA,3,47.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,43012910
14623,NOROCCIDENTE,ANTIOQUIA,HFC,TIENDAS,TIENDAS,INDIRECTA,2,168.0,TV,Individual,,,0,0,0,0,0,0,0,0,0,43012201
